Out bits shaXX number = 15
----------------------------------------------
Collision number 148: ('b64831', 'd67401')
Collision number 149: ('59a90b', 'cabd2a')
Collision number 150: ('e9b797', '7dd5ed')
Collision number 151: ('6df9a3', '540db1')
Collision number 152: ('7cb616', 'bbb30d')
Collision number 153: ('59dbd5', '60cc4a')
Collision number 154: ('f24ffd', '5e76d7')
Collision number 155: ('3e3534', '3261f4')
Collision number 156: ('56a66b', 'fc0dde')
Collision number 157: ('7f7e81', '25beb7')
Collision number 158: ('fa65c4', '342c4c')
Collision number 159: ('5b6f52', '2d061d')
Collision number 160: ('324276', 'e4a7ca')
Collision number 161: ('df4430', 'af0733')
Collision number 162: ('c5b1e0', '295083')
Collision number 163: ('2b5aa7', 'f945d7')
Collision number 164: ('062b6e', 'f9a058')
Collision number 165: ('d14f63', '2e26d0')
Collision number 166: ('92a4b3', '587b5a')
Collision number 167: ('cce8ca', '19f72f')
Collision number 168: ('aac8af', 'b46382')
Collision number 169: ('b69d3e', '5a78cd')
Collision number 170: ('bffabd', '1a49d2')
Collision number 171: ('d8a655', '42c33f')
Collision number 172: ('0d3fb8', '8cb483')
Collision number 173: ('7efb09', 'c2405a')
Collision number 174: ('27898d', 'ea70c1')
Collision number 175: ('3b8608', '06ac35')
Collision number 176: ('e903cc', 'e1d28f')
Collision number 177: ('dc2ea4', 'e39584')
Collision number 178: ('d268d1', 'a34ff6')
Collision number 179: ('41f321', '69adc1')
Collision number 180: ('70b123', '5ace0e')
Collision number 181: ('fdc730', '0a245a')
Collision number 182: ('dc130a', '4f28c9')
Collision number 183: ('9b8d93', 'b75d7e')
Collision number 184: ('d1840a', '5bd5aa')
Collision number 185: ('7978d7', '088bde')
Collision number 186: ('c94ae1', 'c94ae1')
Collision number 187: ('bceae8', 'a14060')
Collision number 188: ('d0a394', 'ad1aef')
Collision number 189: ('62a79f', 'e928ae')
Collision number 190: ('e02174', '052b81')
Collision number 191: ('6d46ca', '09208f')
Collision number 192: ('f2e7d2', 'a69b46')
Collision number 193: ('57dad7', '3187b7')
Collision number 194: ('f97cde', '583dbc')
Collision number 195: ('f84163', '9124ef')
Collision number 196: ('b7b75e', '77fcb1')
Collision number 197: ('227b7f', 'eac6f3')
Collision number 198: ('511892', '4744f3')
Collision number 199: ('c85864', '162f59')
Collision number 200: ('edf251', '265624')
Out bits shaXX number = 16
----------------------------------------------
Collision number 1: ('7eb913', 'fd7e80')
Collision number 2: ('a103a6', '2a4aa0')
Collision number 3: ('00d508', 'ec07b6')
Collision number 4: ('e870c6', '884d04')
Collision number 5: ('0bc62e', '1b7170')
Collision number 6: ('0e6033', '5ce88e')
Collision number 7: ('e7f06d', '84dbb7')
Collision number 8: ('10abb3', '99daea')
Collision number 9: ('57d47d', '2af5c3')
Collision number 10: ('e836a5', '9b88b4')
Collision number 11: ('8e6b8a', '79b6fa')
Collision number 12: ('1d8605', 'deb654')
Collision number 13: ('2636d3', '0bd7a4')
Collision number 14: ('6a8d5a', '8de337')
Collision number 15: ('571356', '36675d')
Collision number 16: ('602930', '194172')
Collision number 17: ('abc7e1', 'd39de5')
Collision number 18: ('d94e43', 'ad5435')
Collision number 19: ('9979f0', 'db7bb4')
Collision number 20: ('cb73f8', '2bab82')
Collision number 21: ('236dc6', '784eb5')
Collision number 22: ('521b7a', '76606f')
Collision number 23: ('e2db5d', '61d612')
Collision number 24: ('5a6b3d', 'c60cd3')
Collision number 25: ('438cd9', '99b44b')
Collision number 26: ('e00e6e', '0229a0')
Collision number 27: ('6e8d90', '057fdb')
Collision number 28: ('1327d2', 'e63fa2')
Collision number 29: ('9ca1dc', '760f4c')
Collision number 30: ('9dcb22', '235b0b')
Collision number 31: ('dab62e', 'e631b8')
Collision number 32: ('02637b', '411053')
Collision number 33: ('9cf043', '384990')
Collision number 34: ('8ca002', 'c0e3db')
Collision number 35: ('cc182a', 'a17007')
Collision number 36: ('6899a3', '03da17')
Collision number 37: ('1ad6a7', '12d58b')
Collision number 38: ('2e9b80', '7149eb')
Collision number 39: ('b9806c', 'f52cdc')
Collision number 40: ('8d4fea', '89ff53')
Collision number 41: ('dd7ad9', '9e68f1')
Collision number 42: ('6ed5b9', '7de6e8')
Collision number 43: ('74b593', '03d654')
Collision number 44: ('03c963', 'e7d9e2')
Collision number 45: ('b255c0', '7770c1')
Collision number 46: ('295b69', '295b69')
Collision number 47: ('63ea6e', 'b3aa2f')
Collision number 48: ('d64d59', '28c56a')
Collision number 49: ('560ca2', 'bc8e5c')
Collision number 50: ('1d2ed4', '2f2544')
Collision number 51: ('91c8cd', 'b92a99')
Collision number 52: ('fd7515', 'fe2350')
Collision number 53: ('8f3db1', '55f93b')
Collision number 54: ('4f67aa', 'aa4335')
Collision number 55: ('653b71', 'cb9a0a')
Collision number 56: ('b27229', 'ae9f89')
Collision number 57: ('70748b', 'b6afb3')
Collision number 58: ('585bfb', '03a31b')
Collision number 59: ('ac88bd', '10a139')
Collision number 60: ('a85c3e', 'ae8e09')
Collision number 61: ('2f417e', 'fe6881')
Collision number 62: ('6a6b3e', '6c89b9')
Collision number 63: ('dfefb8', '5c5598')
Collision number 64: ('b05d59', '6c8bed')
Collision number 65: ('9fda0b', 'a98a41')
Collision number 66: ('040bb6', 'bde2e7')
Collision number 67: ('683c72', '4573e3')
Collision number 68: ('7123d3', '538e87')
Collision number 69: ('2835d5', '90deed')
Collision number 70: ('682ede', '6e6dcc')
Collision number 71: ('fdf666', '6a8043')
Collision number 72: ('6bf5cc', '1474a9')
Collision number 73: ('6ff4c2', '32ab7f')
Collision number 74: ('3bbe0b', '90b914')
Collision number 75: ('49c4cc', '047ef5')
Collision number 76: ('a074d3', 'e8128d')
Collision number 77: ('06841f', '363dfb')
Collision number 78: ('ae9198', '1d472a')
Collision number 79: ('e4e54e', '30fe11')
Collision number 80: ('267a46', 'a4ef5e')
Collision number 81: ('aba913', '0376da')
Collision number 82: ('a71d86', 'be279d')
Collision number 83: ('efa9b4', '127614')
Collision number 84: ('c8cd11', 'ca0a25')
Collision number 85: ('e837e3', '9fde22')
Collision number 86: ('65b801', '6ac6a0')
Collision number 87: ('204f0a', 'f72c09')
Collision number 88: ('7d0f08', '239da0')
Collision number 89: ('74af8b', '97f1e1')
Collision number 90: ('ab09fe', '386996')
Collision number 91: ('898f15', '3d4fee')
Collision number 92: ('94eece', '5e71ab')
Collision number 93: ('6e896e', 'ff9421')
Collision number 94: ('859f7e', 'be4ac7')
Collision number 95: ('0655d5', '0d3a41')
Collision number 96: ('54b68b', '2bb90d')
Collision number 97: ('cb1ca0', '71b663')
Collision number 98: ('80f753', '985da7')
Collision number 99: ('e72124', '515b56')
Collision number 100: ('549e0b', 'b566ef')
Collision number 101: ('6d7556', 'e12cfe')
Collision number 102: ('560190', 'd84ec9')
Collision number 103: ('157be7', '5924b7')
Collision number 104: ('210884', 'a0e7a1')
Collision number 105: ('b26151', 'e82dc1')
Collision number 106: ('fc4cef', '3e7d9c')
Collision number 107: ('947ae7', '274068')
Collision number 108: ('6c5e8a', 'b54cb7')
Collision number 109: ('c8da0f', 'ede419')
Collision number 110: ('c29fc6', '3c1ec4')
Collision number 111: ('e62315', '424512')
Collision number 112: ('ca0b42', 'fe4fe7')
Collision number 113: ('a96f1f', '3e8f9b')
Collision number 114: ('29f96c', 'e5b2b6')
Collision number 115: ('9ff2c5', '695fda')
Collision number 116: ('b42286', '673b2a')
Collision number 117: ('72da18', '5fa6d6')
Collision number 118: ('4da5c4', 'c2bfd7')
Collision number 119: ('081be6', '1a91af')
Collision number 120: ('af2a3f', '90273c')
Collision number 121: ('d35697', '87da65')
Collision number 122: ('cb1b6b', 'd96752')
Collision number 123: ('215318', '6181e4')
Collision number 124: ('77a325', '89bbcb')
