Out bits shaXX number = 15
----------------------------------------------
Collision number 148: ('6ede3f', '412c92')
Collision number 149: ('577851', '4c44ad')
Collision number 150: ('912a0b', 'c9163b')
Collision number 151: ('9ad797', 'b3fad0')
Collision number 152: ('85c6e8', '7fc676')
Collision number 153: ('444867', '668c5c')
Collision number 154: ('2a1445', 'c58dc2')
Collision number 155: ('ac7e3a', '1b18e8')
Collision number 156: ('c15ffd', '37c15c')
Collision number 157: ('cbaa32', 'c044a3')
Collision number 158: ('22faf0', '61bfc6')
Collision number 159: ('d35520', 'b40b73')
Collision number 160: ('27a0f2', '2c649c')
Collision number 161: ('996080', '9d7565')
Collision number 162: ('399efd', '3a1150')
Collision number 163: ('f8fa82', 'e56a3d')
Collision number 164: ('66c09c', 'bb5491')
Collision number 165: ('e7ebba', 'c0ee30')
Collision number 166: ('a19935', 'fc3a47')
Collision number 167: ('926e34', 'e53b24')
Collision number 168: ('2d2edc', 'aa5cfb')
Collision number 169: ('d83550', '9a74c8')
Collision number 170: ('9dd8ea', 'c0ed99')
Collision number 171: ('74d256', 'bc0930')
Collision number 172: ('5bd3e1', '592ae4')
Collision number 173: ('2f4e3d', '0ade89')
Collision number 174: ('44892e', 'a08e6c')
Collision number 175: ('8ae7b2', '8d5069')
Collision number 176: ('5ccb7a', '8f1ff5')
Collision number 177: ('a91c99', '4dab2d')
Collision number 178: ('be0205', '180539')
Collision number 179: ('b9e1e1', 'b05659')
Collision number 180: ('8d5dd5', 'be5416')
Collision number 181: ('02948b', '8732a2')
Collision number 182: ('815578', 'ac350c')
Collision number 183: ('408786', '1dd624')
Collision number 184: ('1c7e4d', '10f403')
Collision number 185: ('ce8bcb', '83c881')
Collision number 186: ('80c4b1', '6803f6')
Collision number 187: ('99b537', '3f6864')
Collision number 188: ('7e989f', '387d28')
Collision number 189: ('d1d25e', 'ab35a8')
Collision number 190: ('051b03', 'db5ac6')
Collision number 191: ('0a6d3b', '8ba647')
Collision number 192: ('f50c89', 'c8a572')
Collision number 193: ('bc90cf', 'fc3864')
Collision number 194: ('164bc7', 'e334e4')
Collision number 195: ('42b388', '94a7c3')
Collision number 196: ('07144b', 'ee904e')
Collision number 197: ('006301', '6bf07e')
Collision number 198: ('5710a1', '1f7b43')
Collision number 199: ('169b51', 'e011b6')
Collision number 200: ('a0863a', '3b9918')
Out bits shaXX number = 16
----------------------------------------------
Collision number 1: ('125258', 'e294d2')
Collision number 2: ('afef66', 'afef66')
Collision number 3: ('80c482', 'c96b1c')
Collision number 4: ('4a1985', 'edc065')
Collision number 5: ('5f452a', '905e9e')
Collision number 6: ('37d0e4', 'bd3cd9')
Collision number 7: ('194806', 'e52146')
Collision number 8: ('741d5d', '80aaba')
Collision number 9: ('a9d1c5', '9b1a02')
Collision number 10: ('7d0fed', '6e7c69')
Collision number 11: ('977d9f', '5f90d1')
Collision number 12: ('508e33', 'e988ea')
Collision number 13: ('a063c9', '2aeed0')
Collision number 14: ('5bb323', 'd4b82f')
Collision number 15: ('7fe309', 'a6b40c')
Collision number 16: ('5ede86', 'e3b240')
Collision number 17: ('2b98a8', '449f09')
Collision number 18: ('8fa1e0', 'd8adf7')
Collision number 19: ('39abde', '96ab1c')
Collision number 20: ('0d859b', '9bf5e3')
Collision number 21: ('9d90e8', '149beb')
Collision number 22: ('ed30e6', 'f24550')
Collision number 23: ('e16837', 'eaa8dd')
Collision number 24: ('fad6c9', 'b87e63')
Collision number 25: ('4607a4', 'c82542')
Collision number 26: ('bddb88', '40d1b0')
Collision number 27: ('9d7838', '51a384')
Collision number 28: ('c681cf', '33bea4')
Collision number 29: ('be6acd', 'c3936f')
Collision number 30: ('f55e81', 'a55090')
Collision number 31: ('041321', 'a2d73e')
Collision number 32: ('37ed07', 'd19067')
Collision number 33: ('f69ba1', '026e12')
Collision number 34: ('35a548', '7bdd8f')
Collision number 35: ('b27c62', '5d3595')
Collision number 36: ('63e106', 'b799b4')
Collision number 37: ('906c2d', 'f09cce')
Collision number 38: ('eb23ea', '1d798c')
Collision number 39: ('b56dbb', '03244f')
Collision number 40: ('a7b046', '9fab41')
Collision number 41: ('ec1cfd', '4828ac')
Collision number 42: ('8ed8c9', '87e9c0')
Collision number 43: ('f541ef', '729b3f')
Collision number 44: ('7b84f7', '47a2eb')
Collision number 45: ('990d93', 'a0b803')
Collision number 46: ('be345a', 'd0ae10')
Collision number 47: ('519b98', '4c7ea1')
Collision number 48: ('162fa3', '17e995')
Collision number 49: ('bde4a6', '956e2b')
Collision number 50: ('2cbc97', '3dcee7')
Collision number 51: ('4fb2a4', '4a4902')
Collision number 52: ('a27cca', '0f8ef3')
Collision number 53: ('b15e33', '05cf72')
Collision number 54: ('03e7c6', 'ddc499')
Collision number 55: ('e5ab98', 'f3438d')
Collision number 56: ('900686', '259028')
Collision number 57: ('aedd2b', 'abc78d')
Collision number 58: ('178565', '4ebcd5')
Collision number 59: ('f33240', 'ae9c64')
Collision number 60: ('23ac82', 'a1b55e')
Collision number 61: ('5e8ebd', '75684c')
Collision number 62: ('2a82fa', 'd0999b')
Collision number 63: ('c2ed40', '95cd66')
